Date,Price,Quantity Sold,exterior,rarity
May 10 2021 01: +0,23.671,283,Field-Tested,Covert
May 11 2021 01: +0,24.372,275,Field-Tested,Covert
May 12 2021 01: +0,23.995,284,Field-Tested,Covert
May 13 2021 01: +0,23.452,287,Field-Tested,Covert
May 14 2021 01: +0,23.452,336,Field-Tested,Covert
May 15 2021 01: +0,23.051,325,Field-Tested,Covert
May 16 2021 01: +0,23.223,288,Field-Tested,Covert
May 17 2021 01: +0,23.133,273,Field-Tested,Covert
May 18 2021 01: +0,23.45,263,Field-Tested,Covert
May 19 2021 01: +0,22.935,254,Field-Tested,Covert
May 20 2021 01: +0,22.968,289,Field-Tested,Covert
May 21 2021 01: +0,22.774,329,Field-Tested,Covert
May 22 2021 01: +0,22.823,287,Field-Tested,Covert
May 23 2021 01: +0,22.934,275,Field-Tested,Covert
May 24 2021 01: +0,21.962,269,Field-Tested,Covert
May 25 2021 01: +0,21.913,275,Field-Tested,Covert
May 26 2021 01: +0,22.067,278,Field-Tested,Covert
May 27 2021 01: +0,21.78,258,Field-Tested,Covert
May 28 2021 01: +0,21.728,303,Field-Tested,Covert
May 29 2021 01: +0,21.39,315,Field-Tested,Covert
May 30 2021 01: +0,21.067,316,Field-Tested,Covert
May 31 2021 01: +0,21.232,294,Field-Tested,Covert
Jun 01 2021 01: +0,21.337,281,Field-Tested,Covert
Jun 02 2021 01: +0,21.464,274,Field-Tested,Covert
Jun 03 2021 01: +0,21.285,264,Field-Tested,Covert
Jun 04 2021 01: +0,20.677,335,Field-Tested,Covert
Jun 05 2021 01: +0,20.838,336,Field-Tested,Covert
Jun 06 2021 01: +0,21.152,293,Field-Tested,Covert
Jun 07 2021 01: +0,20.801,284,Field-Tested,Covert
Jun 08 2021 01: +0,20.571,304,Field-Tested,Covert
Jun 09 2021 01: +0,20.489,280,Field-Tested,Covert
Jun 10 2021 01: +0,21.05,282,Field-Tested,Covert
Jun 11 2021 01: +0,21.109,288,Field-Tested,Covert
Jun 12 2021 01: +0,20.86,250,Field-Tested,Covert
Jun 13 2021 01: +0,20.532,283,Field-Tested,Covert
Jun 14 2021 01: +0,20.741,240,Field-Tested,Covert
Jun 15 2021 01: +0,20.173,273,Field-Tested,Covert
Jun 16 2021 01: +0,20.309,284,Field-Tested,Covert
Jun 17 2021 01: +0,20.17,240,Field-Tested,Covert
Jun 18 2021 01: +0,19.814,288,Field-Tested,Covert
Jun 19 2021 01: +0,20.038,256,Field-Tested,Covert
Jun 20 2021 01: +0,20.075,262,Field-Tested,Covert
Jun 21 2021 01: +0,19.609,233,Field-Tested,Covert
Jun 22 2021 01: +0,19.179,277,Field-Tested,Covert
Jun 23 2021 01: +0,19.197,247,Field-Tested,Covert
Jun 24 2021 01: +0,17.641,345,Field-Tested,Covert
Jun 25 2021 01: +0,17.304,375,Field-Tested,Covert
Jun 26 2021 01: +0,17.189,332,Field-Tested,Covert
Jun 27 2021 01: +0,17.178,313,Field-Tested,Covert
Jun 28 2021 01: +0,17.227,295,Field-Tested,Covert
Jun 29 2021 01: +0,17.153,305,Field-Tested,Covert
Jun 30 2021 01: +0,16.943,274,Field-Tested,Covert
Jul 01 2021 01: +0,16.984,272,Field-Tested,Covert
Jul 02 2021 01: +0,17.035,292,Field-Tested,Covert
Jul 03 2021 01: +0,16.723,309,Field-Tested,Covert
Jul 04 2021 01: +0,16.915,278,Field-Tested,Covert
Jul 05 2021 01: +0,16.473,303,Field-Tested,Covert
Jul 06 2021 01: +0,17.01,268,Field-Tested,Covert
Jul 07 2021 01: +0,16.58,241,Field-Tested,Covert
Jul 08 2021 01: +0,16.497,324,Field-Tested,Covert
Jul 09 2021 01: +0,16.796,271,Field-Tested,Covert
Jul 10 2021 01: +0,16.969,255,Field-Tested,Covert
