Date,Price,Quantity Sold,exterior,rarity
May 04 2015 01: +0,30.604,602,Field-Tested,Covert
May 05 2015 01: +0,31.959,487,Field-Tested,Covert
May 06 2015 01: +0,31.958,497,Field-Tested,Covert
May 07 2015 01: +0,32.302,465,Field-Tested,Covert
May 08 2015 01: +0,31.791,607,Field-Tested,Covert
May 09 2015 01: +0,32.931,564,Field-Tested,Covert
May 10 2015 01: +0,31.536,540,Field-Tested,Covert
May 11 2015 01: +0,32.113,472,Field-Tested,Covert
May 12 2015 01: +0,32.676,488,Field-Tested,Covert
May 13 2015 01: +0,32.457,487,Field-Tested,Covert
May 14 2015 01: +0,32.81,473,Field-Tested,Covert
May 15 2015 01: +0,33.187,516,Field-Tested,Covert
May 16 2015 01: +0,33.358,612,Field-Tested,Covert
May 17 2015 01: +0,32.607,596,Field-Tested,Covert
May 18 2015 01: +0,33.279,519,Field-Tested,Covert
May 19 2015 01: +0,33.399,435,Field-Tested,Covert
May 20 2015 01: +0,33.04,451,Field-Tested,Covert
May 21 2015 01: +0,32.644,451,Field-Tested,Covert
May 22 2015 01: +0,33.796,535,Field-Tested,Covert
May 23 2015 01: +0,33.856,588,Field-Tested,Covert
May 24 2015 01: +0,32.88,520,Field-Tested,Covert
May 25 2015 01: +0,32.252,503,Field-Tested,Covert
May 26 2015 01: +0,32.315,462,Field-Tested,Covert
May 27 2015 01: +0,27.491,904,Field-Tested,Covert
May 28 2015 01: +0,28.639,686,Field-Tested,Covert
May 29 2015 01: +0,30.197,687,Field-Tested,Covert
May 30 2015 01: +0,31.358,633,Field-Tested,Covert
May 31 2015 01: +0,31.168,614,Field-Tested,Covert
Jun 01 2015 01: +0,31.268,680,Field-Tested,Covert
Jun 02 2015 01: +0,31.537,590,Field-Tested,Covert
Jun 03 2015 01: +0,31.346,547,Field-Tested,Covert
Jun 04 2015 01: +0,30.767,592,Field-Tested,Covert
Jun 05 2015 01: +0,29.719,674,Field-Tested,Covert
Jun 06 2015 01: +0,30.385,598,Field-Tested,Covert
Jun 07 2015 01: +0,29.377,636,Field-Tested,Covert
Jun 08 2015 01: +0,29.693,604,Field-Tested,Covert
Jun 09 2015 01: +0,30.732,599,Field-Tested,Covert
Jun 10 2015 01: +0,30.919,636,Field-Tested,Covert
Jun 11 2015 01: +0,28.889,623,Field-Tested,Covert
Jun 12 2015 01: +0,28.839,637,Field-Tested,Covert
Jun 13 2015 01: +0,28.793,694,Field-Tested,Covert
Jun 14 2015 01: +0,27.812,629,Field-Tested,Covert
Jun 15 2015 01: +0,28.258,632,Field-Tested,Covert
Jun 16 2015 01: +0,28.291,609,Field-Tested,Covert
Jun 17 2015 01: +0,27.778,624,Field-Tested,Covert
Jun 18 2015 01: +0,28.069,584,Field-Tested,Covert
Jun 19 2015 01: +0,28.502,701,Field-Tested,Covert
Jun 20 2015 01: +0,27.739,701,Field-Tested,Covert
Jun 21 2015 01: +0,26.824,643,Field-Tested,Covert
Jun 22 2015 01: +0,26.994,709,Field-Tested,Covert
Jun 23 2015 01: +0,28.171,625,Field-Tested,Covert
Jun 24 2015 01: +0,29.3,590,Field-Tested,Covert
Jun 25 2015 01: +0,30.064,609,Field-Tested,Covert
Jun 26 2015 01: +0,30.306,638,Field-Tested,Covert
Jun 27 2015 01: +0,30.672,607,Field-Tested,Covert
Jun 28 2015 01: +0,29.309,528,Field-Tested,Covert
Jun 29 2015 01: +0,29.922,649,Field-Tested,Covert
Jun 30 2015 01: +0,30.583,640,Field-Tested,Covert
Jul 01 2015 01: +0,30.641,591,Field-Tested,Covert
Jul 02 2015 01: +0,30.89,580,Field-Tested,Covert
Jul 03 2015 01: +0,31.126,586,Field-Tested,Covert
Jul 04 2015 01: +0,31.11,537,Field-Tested,Covert
Jul 05 2015 01: +0,31.064,481,Field-Tested,Covert
Jul 06 2015 01: +0,31.599,557,Field-Tested,Covert
Jul 07 2015 01: +0,31.339,562,Field-Tested,Covert
Jul 08 2015 01: +0,30.953,547,Field-Tested,Covert
Jul 09 2015 01: +0,30.98,554,Field-Tested,Covert
Jul 10 2015 01: +0,31.782,531,Field-Tested,Covert
Jul 11 2015 01: +0,31.064,554,Field-Tested,Covert
Jul 12 2015 01: +0,30.905,551,Field-Tested,Covert
Jul 13 2015 01: +0,30.514,613,Field-Tested,Covert
Jul 14 2015 01: +0,30.73,512,Field-Tested,Covert
Jul 15 2015 01: +0,30.325,544,Field-Tested,Covert
Jul 16 2015 01: +0,30.931,525,Field-Tested,Covert
Jul 17 2015 01: +0,30.623,540,Field-Tested,Covert
Jul 18 2015 01: +0,30.18,547,Field-Tested,Covert
Jul 19 2015 01: +0,29.747,554,Field-Tested,Covert
Jul 20 2015 01: +0,30.11,571,Field-Tested,Covert
Jul 21 2015 01: +0,30.339,514,Field-Tested,Covert
Jul 22 2015 01: +0,31.363,486,Field-Tested,Covert
Jul 23 2015 01: +0,30.313,583,Field-Tested,Covert
Jul 24 2015 01: +0,30.574,497,Field-Tested,Covert
Jul 25 2015 01: +0,30.476,487,Field-Tested,Covert
Jul 26 2015 01: +0,30.569,479,Field-Tested,Covert
